root_key,source_rows,normalized_source_url,asset_type,root_asset_id,root_asset_name,node_card_id,node_card_name,parent_card_id,recursion_depth,node_role,query_type,nested_card_ids,cte_names,query_file,metadata_file,evidence_status,csv_path,json_path,output_preview_html,lineage_preview_html,row_count,column_count,notes
question-75654,11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,75654,GX formats,75654,GX formats,,0,root_question,native,,all_sessions_df|b|user_cl,queries/75654__gx-formats.sql,metadata/75654__gx-formats.json,query_sql|metadata_json|result_blocked,,,,,,,The read operation timed out
question-75628,12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,75628,Pauses Extensions,75628,Pauses Extensions,,0,root_question,native,,b|parent_child_map,queries/75628__pauses-extensions.sql,metadata/75628__pauses-extensions.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-75628__75628__pauses-extensions.csv,results/question-75628__75628__pauses-extensions.json,previews/question-75628__75628__pauses-extensions.html,previews/question-75628__75628__pauses-extensions__lineage.html,4,2,
question-59428,13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,59428,NPS by Product - New,59428,NPS by Product - New,,0,root_question,native,,combinations_b|individual_nps|nps_b|platform_nps,queries/59428__nps-by-product-new.sql,metadata/59428__nps-by-product-new.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-59428__59428__nps-by-product-new.csv,results/question-59428__59428__nps-by-product-new.json,previews/question-59428__59428__nps-by-product-new.html,previews/question-59428__59428__nps-by-product-new__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56424,PR BY PRODUCT,,0,dashboard_card,native,,bt_data,queries/56424__pr-by-product.sql,metadata/56424__pr-by-product.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56424__pr-by-product.csv,results/dashboard-3324__56424__pr-by-product.json,previews/dashboard-3324__56424__pr-by-product.html,previews/dashboard-3324__56424__pr-by-product__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56862,PR BY CITY,,0,dashboard_card,native,,bt_data,queries/56862__pr-by-city.sql,metadata/56862__pr-by-city.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56862__pr-by-city.csv,results/dashboard-3324__56862__pr-by-city.json,previews/dashboard-3324__56862__pr-by-city.html,previews/dashboard-3324__56862__pr-by-city__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56863,PR BY OWNERSHIP TYPE,,0,dashboard_card,native,,bt_data,queries/56863__pr-by-ownership-type.sql,metadata/56863__pr-by-ownership-type.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56863__pr-by-ownership-type.csv,results/dashboard-3324__56863__pr-by-ownership-type.json,previews/dashboard-3324__56863__pr-by-ownership-type.html,previews/dashboard-3324__56863__pr-by-ownership-type__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56865,PR BY PRODUCT x CITY,,0,dashboard_card,native,,bt_data,queries/56865__pr-by-product-x-city.sql,metadata/56865__pr-by-product-x-city.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56865__pr-by-product-x-city.csv,results/dashboard-3324__56865__pr-by-product-x-city.json,previews/dashboard-3324__56865__pr-by-product-x-city.html,previews/dashboard-3324__56865__pr-by-product-x-city__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56866,PR BY PRODUCT x OWNERSHIP TYPE,,0,dashboard_card,native,,bt_data,queries/56866__pr-by-product-x-ownership-type.sql,metadata/56866__pr-by-product-x-ownership-type.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56866__pr-by-product-x-ownership-type.csv,results/dashboard-3324__56866__pr-by-product-x-ownership-type.json,previews/dashboard-3324__56866__pr-by-product-x-ownership-type.html,previews/dashboard-3324__56866__pr-by-product-x-ownership-type__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56867,PR BY PRODUCT x OWNERSHIP TYPE x CITY,,0,dashboard_card,native,,bt_data,queries/56867__pr-by-product-x-ownership-type-x-city.sql,metadata/56867__pr-by-product-x-ownership-type-x-city.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56867__pr-by-product-x-ownership-type-x-city.csv,results/dashboard-3324__56867__pr-by-product-x-ownership-type-x-city.json,previews/dashboard-3324__56867__pr-by-product-x-ownership-type-x-city.html,previews/dashboard-3324__56867__pr-by-product-x-ownership-type-x-city__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56868,PR BY CENTER,,0,dashboard_card,native,,bt_data,queries/56868__pr-by-center.sql,metadata/56868__pr-by-center.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56868__pr-by-center.csv,results/dashboard-3324__56868__pr-by-center.json,previews/dashboard-3324__56868__pr-by-center.html,previews/dashboard-3324__56868__pr-by-center__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56869,PR SERVICE TYPE WEEK TREND LINE,,0,dashboard_card,native,,bt_data|pivoted_data,queries/56869__pr-service-type-week-trend-line.sql,metadata/56869__pr-service-type-week-trend-line.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56869__pr-service-type-week-trend-line.csv,results/dashboard-3324__56869__pr-service-type-week-trend-line.json,previews/dashboard-3324__56869__pr-service-type-week-trend-line.html,previews/dashboard-3324__56869__pr-service-type-week-trend-line__lineage.html,0,0,
dashboard-3324,14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,3324,PR DASHBOARD,56872,RESPONSE FUNNEL,,0,dashboard_card,native,,response_data,queries/56872__response-funnel.sql,metadata/56872__response-funnel.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3324__56872__response-funnel.csv,results/dashboard-3324__56872__response-funnel.json,previews/dashboard-3324__56872__response-funnel.html,previews/dashboard-3324__56872__response-funnel__lineage.html,0,0,
question-67337,15|17,https://metabase.curefit.co/question/67337-installs-by-type-source-duplicate?Time_Granularity=Month&From=2022-04-01&To=2025-12-31&City=&Campaign=&Value_Type=Users,question,67337,# Installs by type & source - Duplicate,67337,# Installs by type & source - Duplicate,,0,root_question,native,,,queries/67337__installs-by-type-source-duplicate.sql,metadata/67337__installs-by-type-source-duplicate.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-67337__67337__installs-by-type-source-duplicate.csv,results/question-67337__67337__installs-by-type-source-duplicate.json,previews/question-67337__67337__installs-by-type-source-duplicate.html,previews/question-67337__67337__installs-by-type-source-duplicate__lineage.html,0,0,
question-75999,16|18,https://metabase.curefit.co/question/75999-page-ids-traffic?Start=2022-04-01&End=2025-12-31&Time_Granularity=Month,question,75999,Page Ids Traffic,75999,Page Ids Traffic,,0,root_question,native,,b,queries/75999__page-ids-traffic.sql,metadata/75999__page-ids-traffic.json,query_sql|metadata_json|result_blocked,,,,,,,The read operation timed out
question-30893,19|20,https://metabase.curefit.co/question/30893-cst-class-data?start=2026-03-01&workout=&cluster=&center_name=&city=&end=2026-03-12,question,30893,CST - Class data,30893,CST - Class data,,0,root_question,native,,b,queries/30893__cst-class-data.sql,metadata/30893__cst-class-data.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/question-30893__30893__cst-class-data.csv,results/question-30893__30893__cst-class-data.json,previews/question-30893__30893__cst-class-data.html,previews/question-30893__30893__cst-class-data__lineage.html,0,0,
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75736,Total Amount and Units,,0,dashboard_card,native,75683,,queries/75736__total-amount-and-units.sql,metadata/75736__total-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75683,Raw Data,75736,1,nested_card,native,,,queries/75683__raw-data.sql,metadata/75683__raw-data.json,query_sql|metadata_json,,,,,,,
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75865,Business Unit Level Amount and Units,,0,dashboard_card,native,75683,,queries/75865__business-unit-level-amount-and-units.sql,metadata/75865__business-unit-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75868,Month_Category_itemcode Level Amount and Units,,0,dashboard_card,native,75683,,queries/75868__month-category-itemcode-level-amount-and-units.sql,metadata/75868__month-category-itemcode-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75869,Category_itemcode Level Amount and Units,,0,dashboard_card,native,75683,,queries/75869__category-itemcode-level-amount-and-units.sql,metadata/75869__category-itemcode-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75864,Month_Business Unit Level Amount and Units,,0,dashboard_card,native,75683,,queries/75864__month-business-unit-level-amount-and-units.sql,metadata/75864__month-business-unit-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75871,Unique Sku Code,,0,dashboard_card,native,75683,,queries/75871__unique-sku-code.sql,metadata/75871__unique-sku-code.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75872,Raw Data - 2,,0,dashboard_card,native,75683,,queries/75872__raw-data-2.sql,metadata/75872__raw-data-2.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75867,Financial Year Level Amount and Units,,0,dashboard_card,native,75683,,queries/75867__financial-year-level-amount-and-units.sql,metadata/75867__financial-year-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75860,Month_Category Level Amount and Units,,0,dashboard_card,native,75683,,queries/75860__month-category-level-amount-and-units.sql,metadata/75860__month-category-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75859,Month_Pincode Level  Units,,0,dashboard_card,native,75683,,queries/75859__month-pincode-level-units.sql,metadata/75859__month-pincode-level-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75863,Month_Skucode Level  Units,,0,dashboard_card,native,75683,,queries/75863__month-skucode-level-units.sql,metadata/75863__month-skucode-level-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75866,Quarter Level Amount and Units,,0,dashboard_card,native,75683,,queries/75866__quarter-level-amount-and-units.sql,metadata/75866__quarter-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75854,Month Level Amount and Units,,0,dashboard_card,native,75683,,queries/75854__month-level-amount-and-units.sql,metadata/75854__month-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75870,Unique Pincodes,,0,dashboard_card,native,75683,,queries/75870__unique-pincodes.sql,metadata/75870__unique-pincodes.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75876,Financial Year Wise Summary,,0,dashboard_card,native,75683,,queries/75876__financial-year-wise-summary.sql,metadata/75876__financial-year-wise-summary.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75881,New Launch SKU,,0,dashboard_card,native,75683,sku_launch_date,queries/75881__new-launch-sku.sql,metadata/75881__new-launch-sku.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75894,New Launch Style Id,,0,dashboard_card,native,75683,sku_launch_date,queries/75894__new-launch-style-id.sql,metadata/75894__new-launch-style-id.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75906,Financial Year Wise Summary -  Category Wise,,0,dashboard_card,native,75683,,queries/75906__financial-year-wise-summary-category-wise.sql,metadata/75906__financial-year-wise-summary-category-wise.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,75910,Month_Bill to Customer Name Level Amount and Units -,,0,dashboard_card,native,75683,,queries/75910__month-bill-to-customer-name-level-amount-and-units.sql,metadata/75910__month-bill-to-customer-name-level-amount-and-units.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,76602,Financial Year Wise Summary -  Category and Channel Wise,,0,dashboard_card,native,75683,,queries/76602__financial-year-wise-summary-category-and-channel-wise.sql,metadata/76602__financial-year-wise-summary-category-and-channel-wise.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-4042,23|24,https://metabase.curefit.co/dashboard/4042-ipo-data?business_unit=&category=&end_date=&period=&start_date=,dashboard,4042,IPO Data,76604,Financial Year Wise Summary -  Channel Type Wise,,0,dashboard_card,native,75683,,queries/76604__financial-year-wise-summary-channel-type-wise.sql,metadata/76604__financial-year-wise-summary-channel-type-wise.json,query_sql|metadata_json|result_blocked,,,,,,,HTTP Error 500: Internal Server Error
dashboard-3604,25,https://metabase.curefit.co/dashboard/3604-cross-sell-dashboard?active_end_date=2026-01-31&active_start_date=2025-04-01&business_line=&category=Indoor+Equipment&category=Indoor_Equipment-Strength&cohort=&compare_with_current_date=1&compare_with_current_month=1&consider_active_time=1&consider_city=0&coupon_code=&current_month_active_vs_expired=&current_month_trend=1&date_filter=Month&date_of_month_end_date=&date_of_month_start_date=&first_membership_created_end_date=&first_membership_created_start_date=&is_freebie_order=1&is_fs_member=1&membership_created_end_date=&membership_created_start_date=&month_end_date=&month_start_date=&no_of_month=2&order_end_date=2026-01-31&order_start_date=2026-01-01&service_type=&source=&store_name=&tab=207-visualization&twelve_month_trend=1,dashboard,3604,Cross Sell Dashboard,63753,Cross-Sell VS D2C Trend – Last 12 Months,,0,dashboard_card,native,,final_data,queries/63753__cross-sell-vs-d2c-trend-last-12-months.sql,metadata/63753__cross-sell-vs-d2c-trend-last-12-months.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3604__63753__cross-sell-vs-d2c-trend-last-12-months.csv,results/dashboard-3604__63753__cross-sell-vs-d2c-trend-last-12-months.json,previews/dashboard-3604__63753__cross-sell-vs-d2c-trend-last-12-months.html,previews/dashboard-3604__63753__cross-sell-vs-d2c-trend-last-12-months__lineage.html,0,0,
dashboard-3604,25,https://metabase.curefit.co/dashboard/3604-cross-sell-dashboard?active_end_date=2026-01-31&active_start_date=2025-04-01&business_line=&category=Indoor+Equipment&category=Indoor_Equipment-Strength&cohort=&compare_with_current_date=1&compare_with_current_month=1&consider_active_time=1&consider_city=0&coupon_code=&current_month_active_vs_expired=&current_month_trend=1&date_filter=Month&date_of_month_end_date=&date_of_month_start_date=&first_membership_created_end_date=&first_membership_created_start_date=&is_freebie_order=1&is_fs_member=1&membership_created_end_date=&membership_created_start_date=&month_end_date=&month_start_date=&no_of_month=2&order_end_date=2026-01-31&order_start_date=2026-01-01&service_type=&source=&store_name=&tab=207-visualization&twelve_month_trend=1,dashboard,3604,Cross Sell Dashboard,63791,New VS Repeat  No Of Orders  Summary,,0,dashboard_card,native,,,queries/63791__new-vs-repeat-no-of-orders-summary.sql,metadata/63791__new-vs-repeat-no-of-orders-summary.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3604__63791__new-vs-repeat-no-of-orders-summary.csv,results/dashboard-3604__63791__new-vs-repeat-no-of-orders-summary.json,previews/dashboard-3604__63791__new-vs-repeat-no-of-orders-summary.html,previews/dashboard-3604__63791__new-vs-repeat-no-of-orders-summary__lineage.html,0,0,
dashboard-3604,25,https://metabase.curefit.co/dashboard/3604-cross-sell-dashboard?active_end_date=2026-01-31&active_start_date=2025-04-01&business_line=&category=Indoor+Equipment&category=Indoor_Equipment-Strength&cohort=&compare_with_current_date=1&compare_with_current_month=1&consider_active_time=1&consider_city=0&coupon_code=&current_month_active_vs_expired=&current_month_trend=1&date_filter=Month&date_of_month_end_date=&date_of_month_start_date=&first_membership_created_end_date=&first_membership_created_start_date=&is_freebie_order=1&is_fs_member=1&membership_created_end_date=&membership_created_start_date=&month_end_date=&month_start_date=&no_of_month=2&order_end_date=2026-01-31&order_start_date=2026-01-01&service_type=&source=&store_name=&tab=207-visualization&twelve_month_trend=1,dashboard,3604,Cross Sell Dashboard,63745,Category Wise Cross Sell VS D2C,,0,dashboard_card,native,,combined_data,queries/63745__category-wise-cross-sell-vs-d2c.sql,metadata/63745__category-wise-cross-sell-vs-d2c.json,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,results/dashboard-3604__63745__category-wise-cross-sell-vs-d2c.csv,results/dashboard-3604__63745__category-wise-cross-sell-vs-d2c.json,previews/dashboard-3604__63745__category-wise-cross-sell-vs-d2c.html,previews/dashboard-3604__63745__category-wise-cross-sell-vs-d2c__lineage.html,0,0,
