Center,period,Product Rating (PR)
1082 - Benefit Arena,Q-2023-04-01,3.67
1083 - Foundry Active (Kaggadasapura),Q-2023-04-01,3.66
1084 - Prince Fitness,Q-2023-04-01,3.7
1085 - Youmania,Q-2023-04-01,3.74
1086 - Youmania,Q-2023-04-01,3.74
1087 - Aarna Fitness (Konanakunte),Q-2023-04-01,3.65
1088 - Brad Fitness,Q-2023-04-01,3.64
1089 - Body Line Gym and Cardio,Q-2023-04-01,3.61
109 - Akhil Fitness World,Q-2023-04-01,3.58
1090 - Body Line Gym and Cardio,Q-2023-04-01,3.62
1091 - Oxy-Genz Fitness,Q-2023-04-01,3.68
1092 - Virtue Fitness,Q-2023-04-01,3.68
1093 - I Lift Fitness (East Of Kailash),Q-2023-04-01,3.65
1094 - Club Fit,Q-2023-04-01,3.6
1095 - Fitness Turf (Kompally),Q-2023-04-01,3.79
1096 - Cult C Scheme,Q-2023-04-01,3.79
1097 - Gold's Gym Jamshedpur,Q-2023-04-01,3.44
1098 - Cult Gym Akshaynagar,Q-2023-04-01,3.75
1099 - Cult Gym Habsiguda(Hybrid),Q-2023-04-01,3.62
11 - Fuerza HSR,Q-2023-04-01,3.58
110 - Fluid,Q-2023-04-01,3.76
1100 - Cult Gym Kondapur,Q-2023-04-01,3.61
1104 - Elite Fitness Club,Q-2023-04-01,3.61
1105 - MP Sports Arena,Q-2023-04-01,3.71
1106 - Fitso Silpa Park Badminton,Q-2023-04-01,3.67
1107 - Fitso Kondapur Playtime Sports,Q-2023-04-01,3.74
1108 - Cult Gym Varthur,Q-2023-04-01,3.73
1109 - Powerr Vibes Gym,Q-2023-04-01,3.8
111 - Fluid,Q-2023-04-01,3.59
1110 - Fitso Sector-15 Faridabad,Q-2023-04-01,3.62
1111 - Fitso Sheikh Sarai,Q-2023-04-01,3.68
"1112 - Fitso Sector 16A ,Noida",Q-2023-04-01,3.7
"1113 - Fitso Sector 119, Noida",Q-2023-04-01,3.59
1114 - Fitso Brij Vihar,Q-2023-04-01,3.76
1115 - Cult AECS-Brookfield,Q-2023-04-01,3.82
1116 - Cult Gym Budigere Cross,Q-2023-04-01,3.65
1117 - Cult Budigere Cross,Q-2023-04-01,3.8
1118 - Cult Gym Sion,Q-2023-04-01,3.69
1119 - Cult Sion,Q-2023-04-01,3.86
112 - Fluid,Q-2023-04-01,3.67
1120 - Cult Gym Siliguri,Q-2023-04-01,3.64
1123 - Cult Varthur,Q-2023-04-01,3.79
1124 - Gold's Gym (Gomti Nagar),Q-2023-04-01,3.64
1125 - Cult Siliguri,Q-2023-04-01,3.88
1126 - Gold's Gym Banashankari,Q-2023-04-01,3.57
1127 - Gold's Gym NIBM,Q-2023-04-01,3.63
1128 - B3 Wellness Studio (JP Nagar),Q-2023-04-01,3.65
1129 - Fitness First Platinum Crest Mukta,Q-2023-04-01,3.96
113 - Fitness Ministry,Q-2023-04-01,3.7
1132 - Revive Fitness,Q-2023-04-01,3.8
1133 - Step Up Fitness (Vile Parle East),Q-2023-04-01,3.71
1136 - Fit Gym Reloaded,Q-2023-04-01,
1138 - Cult Gym Nallagandla - Huda,Q-2023-04-01,3.53
1139 - Cult Nallagandla - Huda,Q-2023-04-01,3.71
"114 - Cult Thane, Ghodbunder Road",Q-2023-04-01,3.9
1144 - Cult Gym Bommanahalli,Q-2023-04-01,3.63
1145 - Cult Bommanahalli,Q-2023-04-01,3.8
1146 - Reveal Fitness,Q-2023-04-01,3.5
1147 - HRX Gym JP Nagar,Q-2023-04-01,3.6
115 - Cult Indiranagar,Q-2023-04-01,3.83
1151 - Fitso DPSG Palam Vihar,Q-2023-04-01,3.67
1152 - Fitso Thubarahalli MKR Sports Arena,Q-2023-04-01,3.71
1153 - Modest Gainz,Q-2023-04-01,3.68
1154 - Vogue Health Club,Q-2023-04-01,3.77
1155 - Gold's Gym RR Nagar,Q-2023-04-01,3.59
1156 - Fitso E-City Nova Sports,Q-2023-04-01,3.83
116 - Cult JP Nagar,Q-2023-04-01,3.83
"1161 - Fitso Sector-27, Noida",Q-2023-04-01,3.72
1162 - Fitso Mahadevapura Play Plus,Q-2023-04-01,3.7
1168 - Iron House (Worli),Q-2023-04-01,3.89
117 - Cult HSR 19th Main,Q-2023-04-01,3.84
1171 - Gold's Gym (Raj Nagar Extension),Q-2023-04-01,3.66
1173 - Reset Kormangla,Q-2023-04-01,
118 - Cult Sarjapur,Q-2023-04-01,3.81
1188 - Fitso Karmanghat One All,Q-2023-04-01,3.71
119 - Cult Bellandur,Q-2023-04-01,3.81
1190 - Laps Swimming Academy,Q-2023-04-01,
120 - Cult Koramangala 80ft Rd,Q-2023-04-01,3.86
1204 - HSR Fitness World,Q-2023-04-01,
121 - Cult Tribe Indiranagar,Q-2023-04-01,3.86
123 - Cult Whitefield,Q-2023-04-01,3.86
125 - Cult Koramangala Bethany,Q-2023-04-01,2.5
"129 - Cult Whitefield, Shantiniketan",Q-2023-04-01,3.87
13 - GymX,Q-2023-04-01,
"133 - Cult Baani, Sector 56",Q-2023-04-01,3.89
134 - Cult Mahadevapura,Q-2023-04-01,3.86
135 - Cult Malleshwaram,Q-2023-04-01,3.89
136 - Cult DLF Cyber Greens,Q-2023-04-01,3.89
138 - Cult Jayanagar,Q-2023-04-01,3.87
139 - Cult Basaveshwar Nagar,Q-2023-04-01,3.9
14 - GymX (Defunct) - Do not use,Q-2023-04-01,3.75
140 - Cult Galleria,Q-2023-04-01,3.89
143 - Cult RMV 2nd Stage (Deprecated),Q-2023-04-01,3.85
144 - Cult Electronic City,Q-2023-04-01,3.87
149 - Cult Hauz Khas,Q-2023-04-01,3.89
15 - GymX Marathahalli,Q-2023-04-01,3.4
152 - Cult Banashankari,Q-2023-04-01,3.86
154 - Cult JP Nagar 7th Phase,Q-2023-04-01,3.88
155 - Cult Harlur (deprecated),Q-2023-04-01,3.85
156 - Cult Sahakar Nagar,Q-2023-04-01,3.86
157 - Cult Marathahalli,Q-2023-04-01,3.83
159 - Cult Yelahanka,Q-2023-04-01,3.9
16 - The Street Code,Q-2023-04-01,3.44
160 - Cult Bannerghatta Main Rd,Q-2023-04-01,3.91
161 - Cult RR Nagar,Q-2023-04-01,3.86
162 - Cult Kannamangala,Q-2023-04-01,3.89
163 - Cult RT Nagar (deprecated),Q-2023-04-01,3.87
164 - Cult Punjabi Bagh,Q-2023-04-01,3.89
167 - Cult Banjara Hills,Q-2023-04-01,3.88
168 - Cult Kondapur,Q-2023-04-01,3.89
17 - 121 Premium Fitness Studio,Q-2023-04-01,3.52
170 - Cult Kukatpally,Q-2023-04-01,3.88
171 - Cult Vasant Kunj,Q-2023-04-01,3.88
172 - Cult Gachibowli,Q-2023-04-01,3.86
174 - Cult Rajouri Garden,Q-2023-04-01,3.9
18 - Fit 24,Q-2023-04-01,3.65
182 - Cult Basavanagudi,Q-2023-04-01,3.87
183 - Cult Chandra Layout Maruthi Nagar,Q-2023-04-01,3.88
184 - Cult Begumpet,Q-2023-04-01,3.85
191 - Cult Janakpuri,Q-2023-04-01,3.91
192 - Cult Patel Nagar,Q-2023-04-01,3.88
193 - Cult Kalyan Nagar,Q-2023-04-01,3.86
194 - Cult Botanical Garden Rd,Q-2023-04-01,3.88
20 - Moments Fitness Hub 2.0,Q-2023-04-01,3.62
200 - Cult Madinaguda,Q-2023-04-01,3.89
201 - Cult Pitampura,Q-2023-04-01,3.87
202 - Cult Whitefield Hopefarm,Q-2023-04-01,3.86
203 - Cult Frazer Town,Q-2023-04-01,3.88
207 - Cult Paschim Vihar,Q-2023-04-01,3.9
208 - Cult Model Town,Q-2023-04-01,3.84
21 - Zest Fitness,Q-2023-04-01,3.47
212 - Cult Sarjapur Doddakannalli,Q-2023-04-01,3.87
213 - Cult Rajajinagar,Q-2023-04-01,3.87
216 - Cult Eros Sector 49,Q-2023-04-01,3.88
219 - Cult Madhapur,Q-2023-04-01,3.88
22 - SPL Fitness,Q-2023-04-01,3.69
220 - Cult Jubilee Hills Checkpost,Q-2023-04-01,3.86
221 - Cult South Extension (deprecated),Q-2023-04-01,3.82
222 - Cult BKC,Q-2023-04-01,3.85
224 - Cult Hiranandani Gardens,Q-2023-04-01,3.9
226 - Cult Hennur (Deprecated),Q-2023-04-01,3.88
227 - Cult AS Rao Nagar,Q-2023-04-01,3.91
228 - Cult Himayatnagar,Q-2023-04-01,3.88
23 - Rush Fitness,Q-2023-04-01,3.58
230 - Cult Hoodi,Q-2023-04-01,3.87
231 - Cult Akshayanagar,Q-2023-04-01,3.87
232 - Cult Brigade Road,Q-2023-04-01,3.88
234 - Cult TFD Koramangala,Q-2023-04-01,3.85
235 - Cult Lajpat Nagar (earlier Ring Road),Q-2023-04-01,3.91
236 - Cult Preet Vihar,Q-2023-04-01,3.91
24 - Conquer Gym,Q-2023-04-01,3.63
242 - Cult Tardeo,Q-2023-04-01,3.89
243 - Cult Banaswadi,Q-2023-04-01,3.89
245 - Cult DLF Phase 1,Q-2023-04-01,3.87
247 - Cult LB Nagar,Q-2023-04-01,3.87
251 - Cult SG Palya (Near Forum Koramangala),Q-2023-04-01,3.85
26 - Elite Fitness Club,Q-2023-04-01,3.65
260 - Cult Juhu,Q-2023-04-01,3.87
261 - Cult Malad,Q-2023-04-01,3.91
268 - Cult Velachery Chennai - Hybrid,Q-2023-04-01,3.92
270 - Cult Kalyani Nagar old,Q-2023-04-01,3.88
272 - Cult Nagavara - Manyata Tech Park,Q-2023-04-01,3.86
278 - Cult Malviya Nagar,Q-2023-04-01,3.72
282 - Cult Saket,Q-2023-04-01,3.87
283 - Cult Dwarka Sector 12,Q-2023-04-01,3.89
284 - Cult Sector 18 Noida (Deprecated),Q-2023-04-01,3.91
288 - Cult SR Nagar(Deprecated),Q-2023-04-01,3.92
289 - Cult Nizampet x Roads,Q-2023-04-01,3.87
290 - Cult Dilsukhnagar,Q-2023-04-01,3.89
291 - Cult Srinagar Colony,Q-2023-04-01,3.9
292 - Cult Powai-Raheja Vihar,Q-2023-04-01,3.91
293 - Cult Chembur (deprecated old center),Q-2023-04-01,3.89
294 - Cult Prabhadevi,Q-2023-04-01,3.84
295 - Cult Kandivali West,Q-2023-04-01,3.89
304 - Cult Nallagandla,Q-2023-04-01,3.89
305 - Cult Kompally,Q-2023-04-01,3.92
307 - Cult Marathahalli ORR,Q-2023-04-01,3.87
31 - The Monkey Fitness,Q-2023-04-01,3.64
315 - Cult HSR 24th Main,Q-2023-04-01,3.82
316 - Cult Magarpatta City,Q-2023-04-01,3.86
317 - Cult Tolichowki,Q-2023-04-01,3.87
318 - Cult Nagole,Q-2023-04-01,3.87
321 - Cult Habsiguda,Q-2023-04-01,3.89
33 - Supergym (Pai Layout),Q-2023-04-01,3.58
331 - Cult Wakad(deprecated),Q-2023-04-01,3.88
333 - Cult Vijayanagar (Mysore),Q-2023-04-01,3.87
337 - Cult Satellite,Q-2023-04-01,3.84
338 - Cult Sector 9 Panchkula,Q-2023-04-01,3.86
34 - Supergym (Thippasandra),Q-2023-04-01,3.54
346 - Cult Financial District,Q-2023-04-01,3.88
347 - Cult Kokapet (deprecated),Q-2023-04-01,3.91
349 - Cult Elamkulam,Q-2023-04-01,3.94
35 - Supergym (Vignan Nagar),Q-2023-04-01,3.34
36 - Shred Fitness,Q-2023-04-01,3.55
361 - Cult HSR 14th Main,Q-2023-04-01,3.85
"362 - Cult Kanakapura Road, Doddakallasandra",Q-2023-04-01,3.89
363 - Cult Trimulgherry,Q-2023-04-01,3.9
366 - Cult T N,Q-2023-04-01,3.91
369 - Cult Bahu Plaza,Q-2023-04-01,3.89
37 - Pledge Fitness,Q-2023-04-01,3.69
370 - Cult Lokhandwala old,Q-2023-04-01,3.89
371 - Cult Andheri East,Q-2023-04-01,3.91
379 - Cult Sector 104 Noida ( Deprecated ),Q-2023-04-01,3.88
384 - Cult Siripuram,Q-2023-04-01,3.84
385 - Cult Kharghar,Q-2023-04-01,3.91
386 - Cult Madhu Milan Square,Q-2023-04-01,3.81
39 - Chizel Fitness Studio,Q-2023-04-01,3.64
"391 - Cult MG Road, Mangalore",Q-2023-04-01,3.96
"393 - Cult Bandra, Linking Road",Q-2023-04-01,3.89
394 - Cult Race Course Rd,Q-2023-04-01,3.91
"396 - Cult Sushant Lok, Phase 1",Q-2023-04-01,3.9
42 - Platinum Fitness Club,Q-2023-04-01,3.49
43 - Yashmaxx 2.0,Q-2023-04-01,3.46
46 - Conquest Fitness,Q-2023-04-01,3.46
465 - Stallion Fitness (Kompally),Q-2023-04-01,3.75
"466 - Heeaatz Fitness (Sector 50, Gurgaon)",Q-2023-04-01,3.8
467 - Thew Fitness (DLF Phase 1),Q-2023-04-01,3.68
468 - Studio Velocity,Q-2023-04-01,3.71
469 - Fitness Culture (Sultanpur),Q-2023-04-01,3.44
47 - Millennium Fitness Club,Q-2023-04-01,3.68
470 - Fitmax,Q-2023-04-01,3.66
471 - Cult Gym Banashankari 2nd Stage,Q-2023-04-01,3.59
472 - Cult Circular Road,Q-2023-04-01,3.88
476 - Paradise Fitness Club,Q-2023-04-01,3.64
477 - Kratos,Q-2023-04-01,3.48
478 - An.Fit,Q-2023-04-01,3.56
479 - MH Fitness,Q-2023-04-01,3.71
48 - The Cronus Fitness,Q-2023-04-01,3.62
480 - Energym,Q-2023-04-01,3.35
482 - Balance Fitness Lounge,Q-2023-04-01,3.61
483 - Aim Fit,Q-2023-04-01,3.59
484 - Team Core,Q-2023-04-01,3.48
486 - Body Zone Gym and Fitness Center,Q-2023-04-01,3.75
487 - Team Core,Q-2023-04-01,3.76
488 - FitLifez Gym and Spa,Q-2023-04-01,3.5
489 - Body Formula Fitness,Q-2023-04-01,3.55
49 - Drona The Fitness Gurukul,Q-2023-04-01,3.55
490 - Cult Gym Indiranagar,Q-2023-04-01,3.52
491 - Quad the Fitness Hub,Q-2023-04-01,3.67
492 - Cult Gym Richmond Road,Q-2023-04-01,3.6
493 - Cult Anna Nagar,Q-2023-04-01,3.91
494 - Cult Nungambakkam,Q-2023-04-01,3.86
50 - Fast Fit Gym,Q-2023-04-01,3.61
502 - High Fitness Club,Q-2023-04-01,3.65
508 - The Iron Pumpers Gym,Q-2023-04-01,3.72
513 - MultiFit (Indiranagar),Q-2023-04-01,3.59
514 - MultiFit (Hennur),Q-2023-04-01,3.63
515 - Fitness Element (Ex MultiFit Grand Tamanna),Q-2023-04-01,3.61
517 - MultiFit (Kalyan Nagar),Q-2023-04-01,3.71
519 - MultiFit (Pimple Saudagar),Q-2023-04-01,3.7
520 - MultiFit (SUFC),Q-2023-04-01,3.61
524 - Turbo Fitness (Bandra),Q-2023-04-01,3.68
526 - Ares Gym,Q-2023-04-01,3.68
53 - I Lift Fitness,Q-2023-04-01,3.68
530 - Cult Adyar,Q-2023-04-01,3.89
534 - Be Fit,Q-2023-04-01,3.54
535 - Metafit,Q-2023-04-01,3.69
536 - Afterburn Fitness Studio (Alwal),Q-2023-04-01,3.65
538 - Metafit,Q-2023-04-01,3.69
54 - Mirage.fit,Q-2023-04-01,3.65
540 - Fitness Square,Q-2023-04-01,3.73
541 - Fluid (Vasant Kunj),Q-2023-04-01,3.66
542 - Fit Gym (West Patel Nagar),Q-2023-04-01,3.31
543 - Power Fitness,Q-2023-04-01,3.63
544 - Alpha Fitness (ex. Taurus Fitness),Q-2023-04-01,3.54
546 - Bomiso Fitness,Q-2023-04-01,3.72
548 - Body Power,Q-2023-04-01,3.82
55 - Wellcare Fitness,Q-2023-04-01,3.54
550 - Freedom Fitness,Q-2023-04-01,3.72
551 - MA Fitness,Q-2023-04-01,3.73
552 - Aesthetic B Fitness (ex. Stark Fitness),Q-2023-04-01,3.67
554 - Fitness 2 Health,Q-2023-04-01,3.6
555 - F99 FIT,Q-2023-04-01,3.62
556 - Fitness 4 All,Q-2023-04-01,3.47
56 - FitLifez Gym and Spa,Q-2023-04-01,3.66
568 - Revolt Fitness Club,Q-2023-04-01,3.62
569 - Sehat World Green (Dwarka),Q-2023-04-01,3.74
57 - Planet Ultrafit Gym,Q-2023-04-01,3.66
574 - Cult Vidyaranyapura,Q-2023-04-01,3.85
576 - 9th Gear Fitness Club,Q-2023-04-01,3.63
577 - Fitness One Gym,Q-2023-04-01,3.59
579 - F99 Fit,Q-2023-04-01,3.48
58 - Cure Fitness,Q-2023-04-01,3.6
582 - Foundry Active,Q-2023-04-01,3.45
584 - Fly Fit (New Friends Colony),Q-2023-04-01,3.8
587 - B3 Wellness Studio,Q-2023-04-01,3.65
588 - In The Pink Fitness Club,Q-2023-04-01,3.62
59 - IGNYT Gym,Q-2023-04-01,3.63
590 - Lifestyle Fitness Gym and Cardio (Kothapet),Q-2023-04-01,3.61
591 - Stallion Fitness (Kondapur),Q-2023-04-01,3.71
592 - Team Core,Q-2023-04-01,3.49
593 - GNFC Gym,Q-2023-04-01,3.63
600 - Cult Pal Heights,Q-2023-04-01,3.93
603 - Cult Dharampeth,Q-2023-04-01,3.92
605 - Cult Race Course,Q-2023-04-01,3.93
"606 - Cult Gym RDC, Ghaziabad",Q-2023-04-01,3.66
607 - Cult Gym Bellandur,Q-2023-04-01,3.58
608 - Cult Gym HSR,Q-2023-04-01,3.57
61 - Body Zone Gym,Q-2023-04-01,3.58
611 - Hard Gains (Sector 25),Q-2023-04-01,3.48
613 - Cult Alwarpet,Q-2023-04-01,3.87
614 - Cult Gym Gomti Nagar,Q-2023-04-01,3.61
615 - Cult Gym Golf Course Rd,Q-2023-04-01,3.68
616 - Cult Golf Course Rd,Q-2023-04-01,3.8
617 - Cult Gomti Nagar,Q-2023-04-01,3.89
62 - Armour Fitness Studio,Q-2023-04-01,4
620 - Quark Fitness,Q-2023-04-01,3.67
63 - Grapple Fitness,Q-2023-04-01,3.69
64 - Changeover Fitness Studio,Q-2023-04-01,3.6
65 - Solid Looks Fitness Studio,Q-2023-04-01,3.5
66 - Fit Plus Health Club,Q-2023-04-01,3.61
664 - Fit Dock,Q-2023-04-01,3.63
665 - Fit Dock,Q-2023-04-01,3.73
670 - Elon Fitness,Q-2023-04-01,3.62
671 - Elevate Wellness Club,Q-2023-04-01,
672 - Cubbon Park,Q-2023-04-01,3.62
673 - Fitness Craze,Q-2023-04-01,3.75
674 - GymPoint The Fitness Studio,Q-2023-04-01,3.61
675 - Agara Lake,Q-2023-04-01,3.91
677 - Cult Gym Napier Town,Q-2023-04-01,3.74
678 - Cult Napier Town,Q-2023-04-01,3.88
68 - Tiger Gym,Q-2023-04-01,3.54
680 - Cult Gym Vijay Nagar,Q-2023-04-01,3.71
681 - Cult Vijay Nagar,Q-2023-04-01,3.77
682 - Sky Gym,Q-2023-04-01,3.4
684 - Cult Nariman Point,Q-2023-04-01,3.88
685 - Cult Gym Pitampura,Q-2023-04-01,3.61
686 - Cult Gym BTM Layout,Q-2023-04-01,3.6
687 - Cult BTM Layout,Q-2023-04-01,3.83
69 - Universal Gym,Q-2023-04-01,3.67
690 - Gold's Gym (Kalyani Nagar),Q-2023-04-01,3.6
691 - Gold’s Gym Hadapsar,Q-2023-04-01,3.38
692 - Gold's Gym (Dayanand Vihar),Q-2023-04-01,3.35
693 - Cult Mulund West,Q-2023-04-01,3.91
694 - Reshape Fitness,Q-2023-04-01,3.69
"696 - Defence Colony, Indiranagar",Q-2023-04-01,3.85
7 - cure.fit Bangalore,Q-2023-04-01,3.36
700 - Lalbagh Botanical Garden,Q-2023-04-01,3.91
704 - The Power House,Q-2023-04-01,3.75
706 - Absolute Fitness Studio,Q-2023-04-01,3.54
708 - Cult Gym Kukatpally,Q-2023-04-01,3.63
"709 - Bomiso Fitness (Sector 50, Gurgaon)",Q-2023-04-01,3.68
712 - Stark Fitness Studio,Q-2023-04-01,3.46
713 - Immune Fitness (Sector 9 C Chandigarh),Q-2023-04-01,3.57
714 - F2 Fitness Freaks,Q-2023-04-01,3.04
715 - Stark Fitness Studio (Nizampet),Q-2023-04-01,3.67
717 - GKVK,Q-2023-04-01,3.74
720 - Gold's Gym (Lower Parel),Q-2023-04-01,3.59
721 - Gold's Gym (Yelahanka),Q-2023-04-01,3.65
722 - Gold's Gym (Malleshwaram),Q-2023-04-01,3.54
723 - Gold's Gym (Basaveshwar Nagar),Q-2023-04-01,3.57
725 - Gold's Gym (BEL Road),Q-2023-04-01,3.45
726 - Gold's Gym (Janakpuri),Q-2023-04-01,3.55
727 - Shadow Fitness,Q-2023-04-01,3.65
728 - Epic 7 Fitness Studio,Q-2023-04-01,3.6
729 - Hard Gains (Sector 20),Q-2023-04-01,3.63
73 - Apple Fitness,Q-2023-04-01,3.49
730 - C3 Fit Klub,Q-2023-04-01,3.42
731 - Fit City,Q-2023-04-01,3.68
732 - Gold's Gym (Powai),Q-2023-04-01,3.73
733 - Gold's Gym (Kalyan Nagar),Q-2023-04-01,3.58
734 - Fit Gym (East Patel Nagar),Q-2023-04-01,3.66
735 - Cult Gym Malviya Nagar,Q-2023-04-01,3.55
736 - Lesiure Valley Park,Q-2023-04-01,3.89
737 - Paschim Vihar District Park,Q-2023-04-01,4
738 - Priya Park,Q-2023-04-01,3.73
74 - Workout Zone,Q-2023-04-01,3.69
740 - Gold's Gym Baner,Q-2023-04-01,3.72
741 - Gold's Gym (Whitefield),Q-2023-04-01,3.52
743 - Gold's Gym (Moshi),Q-2023-04-01,3.62
745 - Gold's Gym (Vijayanagar),Q-2023-04-01,3.6
746 - Muscle Mutant,Q-2023-04-01,3.71
75 - Republic Fitness,Q-2023-04-01,3.68
751 - Dare 2 Fit,Q-2023-04-01,3.65
753 - Clout Fitness (Whitefield),Q-2023-04-01,3.66
754 - GymPoint The Fitness Studio (Madhapur),Q-2023-04-01,3.63
759 - Gold's Gym (Kandivali East),Q-2023-04-01,3.77
76 - Fitoor The Fitness Studio,Q-2023-04-01,3.72
760 - Gold's Gym (Kandivali West),Q-2023-04-01,3.74
761 - Cult Greater Noida West,Q-2023-04-01,3.89
764 - Cult Gym Dwarka Sector 12,Q-2023-04-01,3.61
767 - VFitness,Q-2023-04-01,3.76
769 - Cult RDC Ghaziabad,Q-2023-04-01,3.89
77 - Speed Fitness,Q-2023-04-01,3.64
776 - Gold's Gym (Rajahmundry),Q-2023-04-01,3.18
777 - Gold's Gym Guwahati(Ganeshguri),Q-2023-04-01,3.6
778 - Gold's Gym (Shillong),Q-2023-04-01,3.34
779 - Yashmaxx Fitness,Q-2023-04-01,3.74
780 - Big Box,Q-2023-04-01,3.55
781 - MS Fitness,Q-2023-04-01,3.66
782 - Prime Strength,Q-2023-04-01,3.8
785 - Gold's Gym Canada Corner,Q-2023-04-01,3.55
788 - Orca Fitness (Chinchwad),Q-2023-04-01,3.69
789 - Cult Gym KR Puram,Q-2023-04-01,3.73
790 - Cult KR Puram,Q-2023-04-01,3.86
795 - Gold's Gym Bilaspur,Q-2023-04-01,3.44
80 - Technolife Fitness Club,Q-2023-04-01,3.58
801 - Gold's Gym Belgaum,Q-2023-04-01,3.79
81 - Clout Fitness,Q-2023-04-01,3.46
